logEUR/USD,logGBP/USD,logJPY/USD,IVEUR/USD,IVGBP/USD,IVJPY/USD
0.197210169,0.602127782,-4.673856344,0.01030225,0.01265625,0.00874225
0.196635291,0.602839468,-4.67851358,0.01050625,0.012769,0.00874225
0.197702659,0.604261321,-4.681297546,0.011025,0.013456,0.00912025
0.189214413,0.591446626,-4.684258592,0.01050625,0.0121,0.00837225
0.197620594,0.598726605,-4.69015451,0.01050625,0.01155625,0.008649
0.195649017,0.599166117,-4.685459017,0.01,0.01155625,0.00819025
0.208395329,0.604916879,-4.684720465,0.009801,0.01050625,0.00765625
0.205793913,0.603769369,-4.692081558,0.010201,0.01010025,0.007921
0.205793913,0.610254582,-4.695376454,0.009801,0.01010025,0.007569
0.212850762,0.617992507,-4.688223741,0.010201,0.01030225,0.008281
0.214304603,0.615077525,-4.690889061,0.01010025,0.01010025,0.00819025
0.216159218,0.620307634,-4.683981366,0.00990025,0.010816,0.00819025
0.216159218,0.621490049,-4.684166192,0.00990025,0.010404,0.00874225
0.209774584,0.619446818,-4.687763484,0.00990025,0.00950625,0.008464
0.213820224,0.618639128,-4.6929063,0.00970225,0.00990025,0.00837225
0.211718534,0.617075744,-4.698387268,0.009216,0.00931225,0.00765625
0.219055205,0.627701581,-4.68877577,0.00874225,0.009409,0.007056
0.218573123,0.625028926,-4.684535741,0.00874225,0.00950625,0.00714025
0.209369118,0.616212139,-4.687855553,0.008281,0.00874225,0.00697225
0.204653662,0.611123345,-4.699115799,0.0081,0.008281,0.00714025
0.203185712,0.612045579,-4.698387268,0.00819025,0.00837225,0.007056
0.190455057,0.605135303,-4.701843073,0.00801025,0.008281,0.00664225
0.194414804,0.610526152,-4.700298531,0.00893025,0.00893025,0.00697225
0.187143247,0.599934799,-4.708719062,0.00874225,0.008836,0.00697225
0.187143247,0.601196352,-4.715189831,0.009409,0.009409,0.007396
0.185566287,0.597296855,-4.7189452,0.00912025,0.00912025,0.00748225
0.183986836,0.598616697,-4.713127327,0.00912025,0.00893025,0.00748225
0.184236389,0.601853922,-4.707275409,0.00990025,0.01010025,0.00801025
0.186728499,0.601141535,-4.706643155,0.00990025,0.00990025,0.0081
0.186479567,0.601853922,-4.710340684,0.009604,0.00912025,0.007744
0.187309098,0.600648046,-4.716979861,0.00893025,0.00855625,0.00714025
0.204979581,0.609765572,-4.704743991,0.00874225,0.00801025,0.00680625
0.204653662,0.610091605,-4.706643155,0.00874225,0.007921,0.00680625
0.20073433,0.601579987,-4.712678394,0.008649,0.007744,0.006724
0.200816139,0.604315967,-4.708177936,0.008464,0.00714025,0.006561
0.203022473,0.60042864,-4.708538719,0.00837225,0.00748225,0.00632025
0.213012404,0.611394679,-4.70691417,0.00819025,0.007396,0.006561
0.21179945,0.609928602,-4.703838358,0.00912025,0.0081,0.007056
0.211637611,0.602948913,-4.700571271,0.009025,0.00801025,0.00680625
0.209936724,0.600538349,-4.694919478,0.00837225,0.00783225,0.00664225
0.212446542,0.605026097,-4.694919478,0.0081,0.00783225,0.00648025
0.208476514,0.598726605,-4.692539832,0.00837225,0.00801025,0.00664225
0.193426337,0.591391272,-4.699388861,0.00874225,0.00837225,0.00714025
0.189214413,0.583834421,-4.697293475,0.008836,0.00819025,0.007225
0.189214413,0.585506289,-4.701479866,0.00950625,0.008464,0.007921
0.191116104,0.585951649,-4.697202271,0.00893025,0.007744,0.00765625
0.18290472,0.582439059,-4.697567035,0.00874225,0.008281,0.007569
0.187143247,0.585506289,-4.698933716,0.00950625,0.007921,0.007921
0.197784717,0.588841664,-4.692448194,0.00931225,0.00837225,0.007921
0.198522936,0.584224773,-4.695376454,0.009604,0.00855625,0.0081
0.196717437,0.581936251,-4.696015869,0.009604,0.0081,0.007921
0.186728499,0.574701425,-4.704743991,0.01,0.0081,0.0081
0.187640718,0.576500998,-4.701661486,0.008836,0.007921,0.007056
0.191033497,0.573011379,-4.695193689,0.00950625,0.00783225,0.007396
0.197456444,0.580146441,-4.69501089,0.00970225,0.007569,0.00765625
0.200897942,0.581936251,-4.696654876,0.00893025,0.00748225,0.00731025
0.203919956,0.586563695,-4.697293475,0.009025,0.00748225,0.007056
0.203593692,0.586118608,-4.700843936,0.00874225,0.00731025,0.007225
0.202695916,0.58494931,-4.697293475,0.008649,0.007396,0.00697225
0.194908672,0.574476251,-4.700571271,0.00855625,0.007396,0.00664225
0.197702659,0.583778644,-4.69701984,0.007921,0.00697225,0.00648025
0.197784717,0.583778644,-4.698205052,0.007396,0.00680625,0.00555025
0.197374359,0.580146441,-4.699206828,0.00697225,0.00714025,0.00555025
0.209531324,0.585840328,-4.697931666,0.00731025,0.006889,0.00555025
0.204409153,0.583778644,-4.70555836,0.007396,0.00648025,0.005776
0.206932865,0.585784662,-4.708177936,0.00714025,0.006724,0.00555025
0.205061044,0.590837562,-4.707726774,0.006724,0.00697225,0.005329
0.206851555,0.592884759,-4.711869805,0.007225,0.007396,0.005625
0.209044627,0.595038087,-4.712768197,0.00731025,0.00748225,0.005776
0.209450224,0.58789777,-4.708628894,0.00748225,0.00748225,0.00570025
0.21760826,0.594320826,-4.700662167,0.00748225,0.00748225,0.00570025
0.216320326,0.587230955,-4.705377446,0.008281,0.007744,0.00616225
0.20611946,0.578914086,-4.70808772,0.00783225,0.00697225,0.00616225
0.207989304,0.577624089,-4.71115051,0.007056,0.006889,0.005625
0.205793913,0.57638862,-4.712049548,0.006724,0.00632025,0.00555025
0.205793913,0.578129069,-4.711330382,0.00731025,0.00648025,0.005929
0.215917506,0.584280526,-4.696381066,0.007569,0.00714025,0.00600625
