Date, SP500 ,VIX
09/15/2008,1197.72,31.7
09/16/2008,1213.47,30.3
09/17/2008,1156.2,36.22
09/18/2008,1200.5,33.1
09/19/2008,1251.72,32.07
09/22/2008,1207.47,33.85
09/23/2008,1187.76,35.72
09/24/2008,1187.94,35.19
09/25/2008,1210.86,32.82
09/26/2008,1215.22,34.74
09/29/2008,1129.58,46.72
09/30/2008,1163.94,39.39
10/01/2008,1162.05,39.81
10/02/2008,1114.45,45.26
10/03/2008,1099.04,45.14
10/06/2008,1062,52.05
10/07/2008,997.88,53.68
10/08/2008,984.24,57.53
10/09/2008,917.91,63.92
10/10/2008,904.63,69.95
10/13/2008,1006.93,54.99
10/14/2008,997.91,55.13
10/15/2008,904.85,69.25
10/16/2008,946.9,67.61
10/17/2008,940.41,70.33
10/20/2008,984.94,52.97
10/21/2008,954.54,53.11
10/22/2008,900.2,69.65
10/23/2008,908.72,67.8
10/24/2008,875.25,79.13
10/27/2008,846.83,80.06
10/28/2008,940.27,66.96
10/29/2008,922.26,69.96
10/30/2008,954.33,62.9
10/31/2008,970.67,59.89
11/03/2008,966.31,53.68
11/04/2008,1004.97,47.73
11/05/2008,952.71,54.56
11/06/2008,905,63.68
11/07/2008,931.46,56.1
11/10/2008,919.57,59.98
11/11/2008,898.5,61.44
11/12/2008,853.32,66.46
11/13/2008,912.92,59.83
11/14/2008,872.13,66.31
11/17/2008,850.14,69.15
11/18/2008,858.67,67.64
11/19/2008,807.13,74.26
11/20/2008,753.56,80.86
11/21/2008,800.22,72.67
11/24/2008,848.3,64.7
11/25/2008,857.41,60.9
11/26/2008,886.87,54.92
11/28/2008,896.24,55.28
12/01/2008,817.01,68.51
12/02/2008,849.68,62.98
12/03/2008,870.48,60.72
12/04/2008,845.6,63.64
12/05/2008,878.18,59.93
12/08/2008,907.91,58.49
12/09/2008,889.16,58.91
12/10/2008,898.97,55.73
12/11/2008,874.08,55.78
12/12/2008,880.04,54.28
12/15/2008,869.4,56.76
12/16/2008,912.81,52.37
12/17/2008,903.92,49.84
12/18/2008,885.68,47.34
12/19/2008,886.85,44.93
12/22/2008,872.03,44.56
12/23/2008,863.37,45.02
12/24/2008,867.55,44.21
12/26/2008,872.52,43.38
12/29/2008,868.77,43.9
12/30/2008,890.32,41.63
12/31/2008,903.22,40
01/02/2009,930.47,39.19
01/05/2009,927.84,39.08
01/06/2009,934.24,38.56
01/07/2009,906.77,43.39
01/08/2009,909.58,42.56
01/09/2009,889.96,42.82
01/12/2009,870.16,45.84
01/13/2009,870.89,43.27
01/14/2009,843.13,49.14
01/15/2009,844.05,51
01/16/2009,849.76,46.11
01/20/2009,806.03,56.65
01/21/2009,839.96,46.42
01/22/2009,827.29,47.29
01/23/2009,831.78,47.27
01/26/2009,836.34,45.69
01/27/2009,846.15,42.25
01/28/2009,873.13,39.66
01/29/2009,845.05,42.63
01/30/2009,825.91,44.84
02/02/2009,825.28,45.52
02/03/2009,837.74,43.06
02/04/2009,832.19,43.85
02/05/2009,844.89,43.73
02/06/2009,867.95,43.37
02/09/2009,869.45,43.64
02/10/2009,827.35,46.67
02/11/2009,833.34,44.53
02/12/2009,835.37,41.25
02/13/2009,826.14,42.93
02/17/2009,789.41,48.66
02/18/2009,787.95,48.46
02/19/2009,779.29,47.08
02/20/2009,770.31,49.3
02/23/2009,743.58,52.62
02/24/2009,772.33,45.49
02/25/2009,764.9,44.67
02/26/2009,752.92,44.66
02/27/2009,735.12,46.35
03/02/2009,701.67,52.65
03/03/2009,696.44,50.93
03/04/2009,712.31,47.56
03/05/2009,683.22,50.17
03/06/2009,683.92,49.33
03/09/2009,676.7,49.68
03/10/2009,717.66,44.37
03/11/2009,721.04,43.61
03/12/2009,750.02,41.18
03/13/2009,755.9,42.36
03/16/2009,753.42,43.74
03/17/2009,777.53,40.8
03/18/2009,793.7,40.06
03/19/2009,783.61,43.68
03/20/2009,767.99,45.89
03/23/2009,822.59,43.23
03/24/2009,806.26,42.93
03/25/2009,814.08,42.25
03/26/2009,832.01,40.36
03/27/2009,816.05,41.04
03/30/2009,788.16,45.54
03/31/2009,797.13,44.14
04/01/2009,810.27,42.28
04/02/2009,833.36,42.04
04/03/2009,842.19,39.7
04/06/2009,834.92,40.93
04/07/2009,815.31,40.39
04/08/2009,824.92,38.85
04/09/2009,856.45,36.53
04/13/2009,858.29,37.81
04/14/2009,841.17,37.67
04/15/2009,852.04,36.17
04/16/2009,864.71,35.79
04/17/2009,869.88,33.94
04/20/2009,832.92,39.18
04/21/2009,849.67,37.14
04/22/2009,843.32,38.1
04/23/2009,852,37.15
04/24/2009,865.13,36.82
04/27/2009,857.6,38.32
04/28/2009,854.73,37.95
04/29/2009,873.02,36.08
04/30/2009,872.42,36.5
05/01/2009,877.17,35.3
05/04/2009,907.38,34.53
05/05/2009,903.64,33.36
05/06/2009,918.97,32.45
05/07/2009,907.38,33.44
05/08/2009,928.92,32.05
05/11/2009,909.74,32.87
05/12/2009,908.49,31.8
05/13/2009,884.13,33.65
05/14/2009,892.28,31.37
05/15/2009,883.28,33.12
05/18/2009,909.57,30.24
05/19/2009,907.93,28.8
05/20/2009,902.99,29.03
05/21/2009,888.63,31.35
05/22/2009,887.49,32.63
05/26/2009,910.53,30.62
05/27/2009,893.11,32.36
05/28/2009,906.96,31.67
05/29/2009,919.57,28.92
06/01/2009,943.99,30.04
06/02/2009,944.6,29.63
06/03/2009,932.24,31.02
06/04/2009,941.92,30.18
06/05/2009,940.41,29.62
06/08/2009,939.01,29.77
06/09/2009,942.03,28.27
06/10/2009,939.27,28.46
