1928 4000
1929 3500
1930 3850
1931 4050
1932 4000
1933 4075
1934 4150
1935 4500
1936 4375
1937 4500
1938 4800
1939 4700
1940 3650
1941 3550
1942 3400
1943 3850
1944 4300
1945 4075
1946 4125
1947 2700
1948 2800
1949 3575
1950 4100
1951 4550
1952 4700
1953 4575
1954 4800
1955 4425
1956 4150
1957 4500
1958 4075
1959 4550
1960 4350
1961 4675
1962 3700
1963 2250
1964 2450
1965 2825
1966 2925
1967 3225
1968 3725
1969 3925
1970 4125
1971 4575
1972 4625
1973 4925
1974 5175
1975 5100
1976 5075
1977 5125
1978 5375
1979 5200
1980 5575
1981 5675
1982 5350
1983 5425
1984 5700
1985 5775
1986 5109
1987 5166
1988 5637
1989 5898
1990 6143
1991 5936
1992 6051
1993 6310
1994 6447
1995 6950
1996 6570
1997 6653
1998 6940
